id,first_name,last_name,gender,weight,height
289-90-0980,Shirley,Baylay,Female,82.22,169.09
709-24-2905,Beltran,Olczyk,Male,91.43,172.48
408-48-6169,Gussie,Wenban,Female,74.12,168.62
576-36-5194,Fernando,Bettenson,Male,86.62,174.42
124-96-2199,Rikki,Bruckman,Female,55.01,185.57
534-15-9694,Phil,Malser,Female,100.16,154.92
662-30-5431,Lindsay,O'Donovan,Female,104.79,176.01
823-16-1039,Alwin,Studman,Male,62.59,171.02
499-20-2699,Dennie,Dellenbroker,Male,62.97,187.61
200-53-8859,Lilyan,Langcastle,Female,50.45,155.24
105-78-7538,Raynor,Byers,Male,72.24,155.26
708-03-7487,Isadora,Fosdick,Female,77.3,188.38
338-74-5379,Riki,MacMurray,Female,53.59,175.3
672-68-8153,Rancell,Sheivels,Male,60.99,173.9
807-93-3700,Ardith,Gipp,Female,58.79,180.26
139-28-0118,Kirsteni,Fraczkiewicz,Female,58.74,189.4
227-29-1308,Shellysheldon,Jankovic,Male,67.18,166.48
595-56-3950,Amanda,Vasishchev,Female,54.53,175.05
213-14-6717,Janenna,Mealand,Female,63.78,151.81
295-85-0351,Andres,Clows,Male,45.7,189.57
158-76-5981,Yvette,Gostling,Female,70.45,168.27
165-34-0505,Corina,Jaquiss,Female,69.0,181.11
438-18-7699,Emile,Ibbotson,Male,107.75,182.13
394-34-6395,Lombard,Provest,Male,90.6,155.18
260-86-4420,Selig,Wilcock,Male,83.72,176.6
896-46-4112,Skipton,Bullier,Male,81.73,178.25
158-75-4678,Asia,Trelease,Female,100.8,171.28
801-73-2389,Farica,Bradd,Female,94.54,181.08
659-65-5664,Jacklyn,Blockey,Female,61.47,179.7
186-37-6945,Timothy,Milmore,Male,109.63,178.79
667-61-4673,Nariko,Limbrick,Female,81.62,184.69
285-44-6840,Dale,Tillard,Female,50.36,158.83
565-97-5564,Joseito,Normanville,Male,95.49,175.76
325-27-2180,Byrle,Klaves,Male,47.92,177.18
208-98-8300,Bernadene,Hairsnape,Female,49.01,153.63
228-93-2198,Gracia,Hutton,Female,45.76,175.82
702-83-5358,Allys,Wittey,Female,52.3,189.58
892-05-2571,Noel,Harness,Male,62.26,156.45
329-45-8713,Calley,Fearnehough,Female,49.18,174.86
528-79-2883,Desmund,Causey,Male,72.04,157.42
438-88-8962,Rowney,Kuhnhardt,Male,100.28,173.95
129-31-2689,Hugues,Florez,Male,90.41,156.83
268-09-8704,Oates,Menpes,Male,61.22,156.98
588-50-7220,Lanny,Densey,Female,52.54,153.24
511-14-2160,Zarah,ducarme,Female,82.45,168.98
209-58-2093,Charo,Skate,Female,63.75,156.88
550-67-3560,Sayers,Spencelayh,Male,89.19,164.49
588-39-0568,Hestia,Concannon,Female,89.53,186.41
832-14-5928,Stewart,Beevis,Male,94.79,183.48
148-25-2780,Rad,Sturges,Male,54.29,180.35
688-31-7323,Ximenez,Atmore,Male,97.77,188.54
336-02-3588,Brice,Trayes,Male,67.21,173.72
415-32-2892,Minnie,Wringe,Female,108.56,187.26
392-88-7054,Tiena,Setterfield,Female,100.85,168.59
356-98-5698,Boris,Habert,Male,87.7,181.42
261-70-0651,Rey,McGrey,Male,50.3,185.78
765-37-6856,Paxton,Woodall,Male,94.85,173.64
782-56-9753,Alyss,Wilkinson,Female,84.03,163.07
403-96-1846,Ring,Job,Male,90.31,183.78
568-72-6737,Martguerita,Pitkin,Female,105.81,175.56
663-72-8938,Elberta,Comport,Female,84.58,158.71
639-08-3183,Rhianna,Bischoff,Female,101.7,150.03
896-27-1493,Darin,Leavold,Male,79.31,156.22
853-55-1436,Bradford,Salvati,Male,82.53,159.53
816-69-5955,Tobit,Chatenet,Male,57.87,178.55
338-80-0875,Griffy,Cammoile,Male,77.3,182.55
320-12-8614,Lazare,Dutnall,Male,83.27,186.27
520-08-2752,Ertha,Spivie,Female,54.68,152.72
792-90-1552,Winne,Geist,Female,87.08,186.46
206-86-2842,Jess,Lieber,Female,85.22,182.27
782-06-1239,Bernarr,Maestro,Male,64.96,151.87
516-94-0157,Nicolle,Kapiloff,Female,102.69,186.42
539-85-8045,Dulcia,Pohls,Female,106.67,187.36
407-48-6837,Erma,Stansall,Female,60.74,187.16
855-21-6846,Dory,Moulster,Male,80.89,176.9
120-88-3249,Binnie,Hathwood,Female,84.75,189.4
259-44-6922,Dulcy,McMullen,Female,80.67,170.3
812-56-3041,Krista,Pavlasek,Female,47.43,164.52
683-46-7365,Jerry,Czaple,Female,84.18,188.44
209-98-1109,Claus,Christer,Male,86.17,176.44
798-72-5470,Jamesy,Martland,Male,65.55,187.75
501-44-5172,Marjorie,Canner,Female,85.39,179.56
378-28-3818,Luz,Foulds,Female,90.47,168.55
434-68-3405,Adena,Haines,Female,82.69,180.52
296-61-4242,Shelley,Scowcroft,Male,102.2,158.52
723-09-7410,Danya,Corro,Male,77.8,164.97
365-82-5222,Swen,Klimmek,Male,83.43,160.84
699-76-8658,Birdie,Galia,Female,74.69,169.98
289-77-6541,Antonius,Hixley,Male,46.61,166.68
812-58-4978,Nico,Douce,Male,67.67,152.85
438-23-3967,Tam,Coase,Male,64.87,180.93
309-93-7427,Bibbye,Matevushev,Female,54.47,175.81
269-46-8135,Perry,Edelheid,Male,84.87,178.86
771-46-6905,Tremain,Sweatland,Male,99.02,177.7
413-36-9356,Fae,Humberston,Female,103.7,167.8
730-60-6042,Vinnie,Fairebrother,Male,93.1,152.86
328-99-8498,Ferdinand,Lorenzetti,Male,46.02,185.73
532-42-4124,Timmie,Reville,Female,88.12,164.01
639-91-8543,Clementius,Oseman,Male,64.62,188.5
